Item Number,Item Name,Long Description,Suggested Retail,Your Price,Department,Manufacturer,Qty,Lead Time,Image URL,Materials,Dimensions
OM064,One-Minute Devotions for Boys Faux Leather,The One-Minute Devotions for Boys Blue Faux Leather Devotional is the perfect starter devotional for middle school boys. Reading a daily devotional is a great way to teach the spiritual discipline of daily devotional time. This little book will present lessons from the Bible in bite-sized readings w,14.99,7.50,godson,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/7c2938c93967f61e9e021d5de41a9606a1884b6865eacf7fa66c4d697c119542.jpeg,Blue faux leather,0.8 x 4.5 x 5.6 in (2 x 11.4 x 14.2 cm)
DEV091,Devotional My Quiet Time Faux Leather,"The My Quiet Time Devotional takes women through a 365-day journey into a deeper relationship with God. The cappuccino-colored faux leather devotional offers devotional readings from the New Testament, Scripture meditation, and heartfelt prayer to bring you to a place of rest and refreshment.",17.99,9.00,goddaughter,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/609cc8d0ee1791e4d4dc2287eac65333069f830d45e7258a5f0f30b966cfd5c6.jpeg,Cappuccino-colored faux leather,0.8 x 6.1 x 7.8 in (2 x 15.5 x 19.8 cm)
FAI.NEVER.N,Faith Collection Necklace - Your Love Never Fails,"The items in our Faith Collection match everyday elegance with inspiration. Each piece is a unique reminder of the profound impact faith has in our lives. These items come on beautiful and uplifting gold foil message cards, and the design is a reminder of the strength, hope, and peace that faith bri",16.00,8.00,goddaughter,Lucky Feather,,Aug 28-Sep 8,https://cdn.faire.com/fastly/e450b727f7813717c99293f5ffee6cb41b1649c011515fa707466a6bdadb503e.jpeg,Gold plated; gold foil message card,Chain length 16-18 in; case of 4
FAI.MOUNT.N,Faith Collection Necklace - Faith Can Move Mountains,"The items in our Faith Collection match everyday elegance with inspiration. Each piece is a unique reminder of the profound impact faith has in our lives. These items come on beautiful and uplifting gold foil message cards, and the design is a reminder of the strength, hope, and peace that faith bri",16.00,8.00,goddaughter,Lucky Feather,,Aug 28-Sep 8,https://cdn.faire.com/fastly/a8cd0d927ccb6da2e81aee51bc375ce89c33c5180a31447748e83315ee55d6e2.jpeg,Gold plated; gold foil message card,Chain length 16-18 in; case of 4
FAI.SHINE.N,Faith Collection Necklace - Let Your Light Shine,"The items in our Faith Collection match everyday elegance with inspiration. Each piece is a unique reminder of the profound impact faith has in our lives. These items come on beautiful and uplifting gold foil message cards, and the design is a reminder of the strength, hope, and peace that faith bri",16.00,8.00,goddaughter,Lucky Feather,,Aug 28-Sep 8,https://cdn.faire.com/fastly/a781a8b894e52dc94e65334787aa3882a9ffc89246596cc909d3acff038ea5e6.jpeg,Gold plated; gold foil message card,Chain length 16-18 in; 4 oz; case of 4
FAI.GROW.N,Faith Collection Necklace - Growing With Grace,"The items in our Faith Collection match everyday elegance with inspiration. Each piece is a unique reminder of the profound impact faith has in our lives. These items come on beautiful and uplifting gold foil message cards, and the design is a reminder of the strength, hope, and peace that faith bri",16.00,8.00,goddaughter,Lucky Feather,,Aug 28-Sep 8,https://cdn.faire.com/fastly/f52954abbaedcbc25eb5a4cf66f9d006f1c6546927dd07900a90b1bc5783eb49.jpeg,Gold plated; gold foil message card,Length 16-18 in (adjustable); case of 4
FAI.LOVED.E,Faith Collection Earrings - You Are Loved,"The items in our Faith Collection match everyday elegance with inspiration. Each piece is a unique reminder of the profound impact faith has in our lives. These items come on beautiful and uplifting gold foil message cards, and the design is a reminder of the strength, hope, and peace that faith bri",16.00,8.00,goddaughter,Lucky Feather,,Aug 28-Sep 8,https://cdn.faire.com/fastly/6339b13cb9ff649e04d95ba5bbccd74312bc09830c72ce2198007825f1148e24.jpeg,Gold plated; gold foil message card,Case of 4
BIC2005,Blessed Collection Faux Leather Bible Cover,Celebrate life's everyday blessings with our Blessed Collection-a meaningful assortment of items featuring artwork created just for this line. Each piece is a reminder of the grace we receive daily and the joy found in a thankful heart. - Surround yourself with messages of faith through beautifully,49.00,26.95,sponsor,Faithworks by Creative Brands,,Sep 2-15,https://cdn.faire.com/fastly/a11e25128bcc8ede23b3f3491fb02b0c4e7da84d4895518f7930f1e763979192.jpeg,Faux leather,Case of 2
PHF2003,Blessed Collection Photo Frame,Celebrate life's everyday blessings with our Blessed Collection-a meaningful assortment of items featuring artwork created just for this line. Each piece is a reminder of the grace we receive daily and the joy found in a thankful heart. - Surround yourself with messages of faith through beautifully,23.00,12.65,godparent,Faithworks by Creative Brands,,Sep 2-15,https://cdn.faire.com/fastly/bca1ab17585c6017df815db1cbf4161199d51468098db7bc62a896936dcd3130.jpeg,,Case of 2
VFR2010,Blessed Collection Framed Print - Her Children Are,Celebrate life's everyday blessings with our Blessed Collection-a meaningful assortment of items featuring artwork created just for this line. Each piece is a reminder of the grace we receive daily and the joy found in a thankful heart. - Surround yourself with messages of faith through beautifully,37.00,20.35,godparent,Faithworks by Creative Brands,,Sep 2-15,https://cdn.faire.com/fastly/c90c7f25670a752321cc4d8fd2f6c8d27cc38a4feade8beb454527322fa5dea2.jpeg,,Case of 2
R5708,Keepsake Box - Little Blessing,"Hold onto some of baby's sweetest mementos with this Little Blessing keepsake box. Designed to store your baby's first treasures, this beautifully crafted box features compartments for photos, mementos, and special notes, creating a lasting memory of your little one's earliest days. - Naturally craf",36.00,19.80,godparent,Faithworks by Creative Brands,,Sep 2-15,https://cdn.faire.com/fastly/9aefebf799eb91b751467f7ff9b6cc7cc5e295a567ebe231510c5cfc5da25507.jpeg,Naturally crafted wood,Case of 3
CRO2003,Blessed Collection Wall Cross,Celebrate life's everyday blessings with our Blessed Collection-a meaningful assortment of items featuring artwork created just for this line. Each piece is a reminder of the grace we receive daily and the joy found in a thankful heart. - Surround yourself with messages of faith through beautifully,10.50,5.78,sponsor,Faithworks by Creative Brands,,Sep 2-15,https://cdn.faire.com/fastly/245364a04d2579af81406c110df7ad56c341a3784626a84a3d7e31c2d0ebe48a.jpeg,,Case of 4
F4161,Handheld Cross - Walnut Stain,"This wooden hand held cross provides comfort in the palm of your hands. Makes for a meaningful gift of hope and love. - Material: Wood - Size: 4"" H",4.10,2.00,sponsor,Faithworks by Creative Brands,,Sep 2-15,https://cdn.faire.com/fastly/b8d7aaf968d36db405f46c7efc4deab1de29b457610135297b39d5d2efffd21e.jpeg,Wood,4 in (H); 0.8 oz; case of 12
TLR-comeholyspiritpouch,Come Holy Spirit Catholic Bible/Planner Pouch,"Designed to provide quick and easy access to any tools you might need during your prayer time, this Bible/Planner Pouch is the perfect accessory to your prayer space. - Pouch measures approximately 7 3/4"" x 4.5"" with additional 11"" of elastic These pouches are designed to make life easier",20.00,10.00,sponsor,The Little Rose Shop,,Sep 2-15,https://cdn.faire.com/fastly/e8e34bbb9e896980b0b4258e86cb347f86a80d437fd740f8c23fe7b6afc9252d.jpeg,Made in United States,Approx 7.75 x 4.5 in plus 11 in elastic; 2 oz
TLR-holyspirit-suncatcher,Holy Spirit Dove Suncatcher,"Invite the Light of the Holy Spirit Into Your Home. Sometimes we need a gentle reminder that we are never alone. As sunlight streams through your window, this beautiful Holy Spirit Dove Suncatcher transforms ordinary light into brilliant rainbow prisms that dance throughout your home.",35.00,17.50,sponsor,The Little Rose Shop,,Sep 2-15,https://cdn.faire.com/fastly/59e5427047f46f60105ddbfd12fd6596639b93b4433b846308637b5dc0cbdc77.png,,11.2 oz
TLR-waterfont,Holy Water Font for Home,"This timeless and classic, ceramic Holy Water Font is the perfect addition to your Catholic home decor. Add this to your home altar or prayer corner as an easy way to start blessing your family and home with holy water. - Elegant and timeless design: The cream ceramic material with match seamlessly",34.00,17.00,godparent,The Little Rose Shop,,Sep 2-15,https://cdn.faire.com/fastly/40b0f3b5f5e916b4d90717a487808640eed8568ba55a665eb2cd7ce86dcecbb8.jpeg,Cream ceramic,5 x 7 x 2 in; 1.06 lb
TLR-guardianangel-luxury,Guardian Angel Luxury Double Sided Muslin Catholic Blanket,"Wrap your little one in unmatched softness and devotion with our Catholic Luxury Double-Sided Muslin Blankets. Crafted from premium, breathable muslin with two unique faith-inspired designs, these blankets are perfect for cozy snuggles, stroller rides, and adding a touch of warmth and faith to any m",50.00,25.00,godparent,The Little Rose Shop,,Sep 2-15,https://cdn.faire.com/fastly/95e8b075e4cda348af4a9915aed92b4fbaa75407ad5428fae1dd06d7f30ebe36.jpeg,Premium double-sided muslin,47 x 47 in; 12.6 oz
TLR-surrenderprayercaddy,Catholic Prayer Corner Caddy,"Create a peaceful, prayerful space anywhere in your home. Our Prayer Corner Caddy is thoughtfully designed to help you organize your faith essentials with beauty and function. Whether you're setting up a quiet prayer nook, bringing supplies to Bible study, or keeping your family's devotionals in one",26.00,13.00,sponsor,The Little Rose Shop,,Sep 2-15,https://cdn.faire.com/fastly/4467fdc61bec5a0c7db50151db66225b69c5d72036b3511c59340bf8bf3df63a.jpeg,,Case of 1
NB029,Tan One Line A Day Fabric Journal,"Every day brings both big and small moments that are truly worth remembering. This journal offers the perfect way to capture life's significant milestones. Before you realize it, you'll have a treasure trove of precious memories within its pages. Whether it's a thoughtful gift for a new mom, someone",17.00,8.50,goddaughter,Sweet Water Decor,,Aug 28-Sep 8,https://cdn.faire.com/fastly/15d3de6819bfbdcae5d6ed2fcfb45a99d72a057e9dcc789009d2cd80eca2160f.png,Fabric cover,4 x 0.5 x 6.5 in (10.2 x 1.3 x 16.5 cm); minimum order 4 units
CM166,Cross Stoneware Coffee Mug,"Our Cross faith-based mug is great for Easter, Easter Baskets, Christmas, Christian gifts, and more. Customers will love it for devotional time and reading scripture. You'll also love our Trust In The Lord mug! DETAILS: - 14oz Stoneware Style Mug - Size: 3.46 x 3.93"" (5.19"" w/handle) - Original Desi",24.00,12.00,godson,Sweet Water Decor,,Aug 28-Sep 8,https://cdn.faire.com/fastly/249b9993e0e2fc62069b393b6219bfd0a8ca62785fff07cb9d1778776420e7fd.png,Stoneware,3.46 x 3.93 in (5.19 in with handle); 14 oz; minimum order 4 units
