Item Number,Item Name,Long Description,Suggested Retail,Your Price,Department,Manufacturer,Qty,Lead Time,Image URL,Materials,Dimensions
4COOFTH1608,A Cord of Three Strands Ecclesiastes 4:12 White,"This unique piece is a simple way to bring beauty and charm to any wall or shelf within the home. It is made from high quality American hardwood planks with a hand painted face, and printed with UV cured ink, and is framed in a natural walnut frame. Each piece is unique with its own personality, mar",39.40,17.51,couple,Kendrick Home,,Sep 18-Oct 5,https://cdn.faire.com/fastly/133318da8fb50a4252184c0f9cb77c3b3cf5e6a6903b29db1e49299a59b5eba0.jpeg,"American hardwood planks, hand painted face, UV cured ink, natural walnut frame",16 x 1.5 x 8 in (40.6 x 3.8 x 20.3 cm); case of 1
LF2432,Our Marriage Prayer Picture Frame,"The design of the ""Our Marriage Prayer Picture Frame"" beautifully encapsulates a heartfelt sentiment that resonates with love and unity. Displaying the text of a touching marriage prayer, this frame utilizes elegant typography that guides the viewer's eye through lovely, flowing script.",28.50,14.25,couple,Kalia Lane,,Sep 2-15,https://cdn.faire.com/fastly/f3d81a9a58217d33d5355f36183bb994c4f750fb546ffa774c4f196b1973fbe9.jpeg,,4 x 6 in photo opening; case of 2
TFR1058,Beautiful Marriage - Thin Frame Rectangle,"Thoughtfully designed and crafted with care, this thin framed wall art combines meaningful scripture with versatile style, beautiful in a bedroom, living room, or entryway where faith and commitment are celebrated daily. Delicate watercolor eucalyptus leaves in soft sage and pale green sweep across",50.00,25.00,couple,Sincere Surroundings,,Sep 14-24,https://cdn.faire.com/fastly/2fa85460ad70f4087a506deeaa52d6163c9d0879be1c4b185a3b6dd78309be57.jpeg,Thin frame wall art,18 x 24 x 0.8 in; case of 1
23173402,God Joined Together Cross,"Celebrate the beauty of love and faith with this elegantly crafted cross, featuring the powerful scripture: 'Therefore what God has joined together, let no man separate.' (Mark 10:9). A perfect symbol of unity and commitment, this cross makes a meaningful wedding, anniversary, or engagement gift.",20.13,8.95,couple,Glory Haus,,Aug 28-Sep 8,https://cdn.faire.com/fastly/e2034d37bfb3214d3b5f09868e8a25026ebf1f29b9a945372e64bdad678dff49.jpeg,,Case of 6
259-4493SG,Wedding Day Gift: Gray Stained Glass Cross 4493SG,"This 4 1/4"" handcrafted gray stained glass cross is a beautiful gift for a newly married couple. While each piece features a gray tone, subtle variations created during the glass firing process make every cross truly one of a kind in color, adding to its unique character. The cross hangs from a whit",24.99,11.00,couple,The Grandparent Gift Co. Inc.,,Sep 14-24,https://cdn.faire.com/fastly/37ac3496bd1ab7069eeb7c0c7f119833c78936f5f5327cb598411a14115cb971.jpeg,Handcrafted stained glass,5.5 x 1 x 5.5 in (14 x 2.5 x 14 cm); cross is 4.25 in; case of 1
259-4493SGFR,Wedding Day Gift: Framed Gray Glass Cross 4493SGFR,"The beautiful framed handcrafted gray cross is a beautiful gift for a newly married couple that is perfect for a table or shelf display. While each piece features a gray tone, subtle variations created during the glass firing process make every cross truly one of a kind, adding to its unique charact",26.99,14.00,couple,The Grandparent Gift Co. Inc.,,Sep 14-24,https://cdn.faire.com/fastly/9134189dfbd6b779e229d56d8590e167063d920abd7bcd719f4e11d42733f80e.png,Handcrafted stained glass in frame,6 x 6 in (15.2 x 15.2 cm); case of 1
46218C,Wedding Wall Cross,"Faith Hope Love Wall Cross. Crafted of MDF, sublimated with a stone look with metal accents, finished in brass ox. Ready to hang. Design by Randy Wollenmann. 7 1/4"" x 10 1/2"" W. Boxed. Scripture from 1 Corinthians 13:13, ""Faith, Hope, Love ...and the greatest of these is Love.""",32.00,16.00,couple,Abbey + CA Gift,,Sep 2-15,https://cdn.faire.com/fastly/dd500e9b5e81660f979153626bc57011c88347614164c6dd34c29b86f92c2306.jpeg,"MDF, sublimated stone look, metal accents, brass ox finish","7.25 x 10.5 in, boxed; case of 1"
SG0117,Small As For Me and My House Wood Bible Verse Sign,"An antique wood sign printed a quote ""As for me and my house, we will serve the Lord."" Box style sign has a hook to use for hanging or can stand on a table or counter top. Sign measures 9.5""Wx1""Dx3.6""H, solid wood frame construction for durability and stability. MDF back makes it a beautiful looking",14.71,3.93,couple,Paris Loft Inc,,Aug 28-Sep 8,https://cdn.faire.com/fastly/31d8b6c61a1649fbb7cb35ed92ab82d413ba62a7c17aa541c7e6b2cfe722f446.jpeg,"Solid wood frame, MDF back",9.5 x 1 x 3.6 in; case of 4
38180503,Gold Cross Box,"This Gold Cross Box blends faith and function in a beautifully designed keepsake piece. Featuring a gold cross detail, it's perfect for storing jewelry, notes, or meaningful mementos. Ideal for gifting or personal use, this box adds spiritual beauty and organization to any space. - Original Design",18.00,8.00,couple,Glory Haus,,Aug 28-Sep 8,https://cdn.faire.com/fastly/4ac1acf9ddb18e4a26d89ecc7d1b6ffe1ef173b2174c75b2f6e48a27f793a013.jpeg,Gold cross detail,5.5 x 5.5 in; case of 2
GB283,Gift Book 199 Prayers for My Husband Faux Leather,"A praying wife is a powerful force in her husband's life, and the 199 Prayers for My Husband Raspberry-Red Faux Leather Prayer and Journaling Guide will help you keep your eyes on the truth, pray, invite you to reflect, and then prompt you to invest intentionally in your marriage.",17.99,9.00,bride,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/e5125b624022ab29a74fd6ab818a932c95209c39805070be4216cc475b0eed4a.jpeg,"Raspberry-red faux leather, heat-debossed front",1 x 6.6 x 7.8 in (2.5 x 16.8 x 19.8 cm); case of 1
p_gpn9yvkhq6,Cord of Three Strands Goldtone Necklace,"Celebrate the strength of faith, love, and commitment with this elegant goldplated stainless steel necklace featuring the timeless words, ""A cord of three strands is not easily broken. Eccles. 4:12."" This meaningful 19mm engraved charm serves as a beautiful reminder that relationships centered on fa",12.95,6.47,bride,JKCE Designs,,Sep 14-24,https://cdn.faire.com/fastly/03245067c20e1298c9b5bb4f4410d2c4de874fca2e91d8932a5f2f53d5f8da00.jpeg,Gold plated stainless steel,"19 mm engraved charm; case of 5; no brand SKU listed, Faire token used"
GLT040,Trinket Tray Love Heart Love 1 Cor. 13:4,"The Love White Ceramic Trinket Tray is the perfect little keepsake to celebrate the wedding vows a man and a woman make. This elegant tray will be the designated place for your wedding bands whenever they are not on your fingers. Creamy white and gold foil design, - Gold-foiled text Love, - 1 Corint",9.99,5.00,bride,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/06f06103994c4cdfb0b60d45a2ac5406eac0399e9e000def1aa9b3722e8ed798.jpeg,"White ceramic, gold foil",4.1 x 3.7 x 0.9 in; case of 1
GB284,Gift Book 199 Prayers for My Wife Faux Leather,"A praying man is a powerful force for good in the lives of those around him. In the 199 Prayers for My Wife Saddle Tan Faux Leather Prayer and Journaling Guide, you will learn how your partner can cover your wife with a shield of love and protection and demonstrate your commitment and devotion to yo",17.99,9.00,groom,Christian Art Gifts,,Aug 31-Sep 15,https://cdn.faire.com/fastly/5e05f10964668a94e13bcf81aa02095d6925cc1b07cbfb4d3226d7e78067cd26.jpeg,Saddle tan faux leather,1 x 6.4 x 8.1 in (2.5 x 16.3 x 20.6 cm); case of 1
W-394,Pen Keyring Set Jeremiah 17:7,"- Attractively gift boxed, this pen and keyring set is an excellent gift for a man of God for many occasions, such as Fathers Day, pastor appreciation, confirmation, graduation and more! - Ball pen has wood and silver metal barrel; faux leather and silver metal keyring has stitched edge and Man of G",19.99,10.00,groom,Dicksons,,Sep 2-15,https://cdn.faire.com/fastly/66acdbb93e1c28791aec1d960767e65977aceed42fdca1caa3eac1234cc11050.jpeg,Wood and silver metal pen barrel; faux leather and silver metal keyring,7.4 x 4 x 1.3 in (18.8 x 10.2 x 3.3 cm); gift boxed; case of 1
FS18,A Chord of Three Strands Wedding Favor Favour Christian,This Wedding Favor bracelet has the quote on it 'A cord of three strands is not easily broken'. This is taken from Ecclesiastes 4:12. The charm on the cord is a delicate gold star with a white enamel infill. A fantastic Christian table favor for a wedding.,5.23,2.17,wedding party,Faithstrings,,"No estimate shown; ships from United Kingdom, import duties apply",https://cdn.faire.com/fastly/6445523828fb3f5782ac1287676f9b99033e4e07fc7ecc6ddbd8316bbb3caa53.jpeg,"Cord with gold star charm, white enamel infill",3.3 x 2.2 x 0.2 in (8.5 x 5.5 x 0.4 cm); case of 1
p_6cgbsqa5gp,"Cord of Three Strands Verse Keychain, Wedding Favors","Celebrate faith, love, and the strength of lasting relationships with this meaningful ""A Cord of Three Strands Is Not Easily Broken"" keychain inspired by Ecclesiastes 4:12. Featuring a symbolic braided heart design and scripture reference, this keepsake serves as a beautiful reminder that relationsh",9.00,4.50,wedding party,Kennebug LLC,,Sep 14-24,https://cdn.faire.com/fastly/e0c677e08fa125b79f1042c288f5a34f6bcc345b6336b7ffa9eb56a6c6a45342.png,Made in United States,"3.3 x 1.3 in (8.4 x 3.3 cm); minimum order 3 units; no brand SKU listed, Faire token used"
p_qu57w2w74e,Engraved Olive Wood Comfort Prayer Cross,"These olive wood crosses are authentically made in Bethlehem, the Holy Land, from Olive trees that have been growing since ancient times. No two crosses are the same! The crosses are intentionally unevenly shaped to fit comfortably in your hand. They measure roughly 2.5 inches x 1.5 inches x .25 inc",8.00,4.80,wedding party,Gospel Gear Co,,Sep 9-Oct 1,https://cdn.faire.com/fastly/71e908aa5714b3644f84326fa2066c8b6f0ca377fe617fe5e981d31c98cfd0f0.jpeg,"Olive wood, made in Bethlehem","2.5 x 1.5 x 0.3 in; minimum order 5 units; no brand SKU listed, Faire token used"
